timestamp,subject,exam,hr,temp
0.0,S1,Midterm 1,84.0,22.51
10.0,S1,Midterm 1,101.09,22.49
20.0,S1,Midterm 1,102.33,22.51
30.0,S1,Midterm 1,104.45,22.51
40.0,S1,Midterm 1,104.98,22.53
50.0,S1,Midterm 1,106.04,22.55
60.0,S1,Midterm 1,106.88,22.57
70.0,S1,Midterm 1,109.23,22.57
80.0,S1,Midterm 1,112.4,22.59
90.0,S1,Midterm 1,114.17,22.61
100.0,S1,Midterm 1,116.38,22.61
110.0,S1,Midterm 1,121.98,22.63
120.0,S1,Midterm 1,130.78,22.63
130.0,S1,Midterm 1,140.55,22.65
140.0,S1,Midterm 1,150.15,22.63
150.0,S1,Midterm 1,160.1,22.67
160.0,S1,Midterm 1,170.92,22.67
170.0,S1,Midterm 1,178.28,22.71
180.0,S1,Midterm 1,184.12,22.69
190.0,S1,Midterm 1,188.95,22.71
200.0,S1,Midterm 1,191.55,22.71
210.0,S1,Midterm 1,190.8,22.71
220.0,S1,Midterm 1,183.92,22.73
230.0,S1,Midterm 1,173.68,22.71
240.0,S1,Midterm 1,163.87,22.71
250.0,S1,Midterm 1,153.12,22.71
260.0,S1,Midterm 1,142.32,22.71
270.0,S1,Midterm 1,135.37,22.75
280.0,S1,Midterm 1,132.18,22.71
290.0,S1,Midterm 1,129.33,22.77
300.0,S1,Midterm 1,125.2,22.73
310.0,S1,Midterm 1,119.35,22.77
320.0,S1,Midterm 1,114.28,22.75
330.0,S1,Midterm 1,107.95,22.75
340.0,S1,Midterm 1,104.42,22.75
350.0,S1,Midterm 1,106.58,22.73
360.0,S1,Midterm 1,110.32,22.75
370.0,S1,Midterm 1,115.32,22.77
380.0,S1,Midterm 1,121.28,22.79
390.0,S1,Midterm 1,129.3,22.77
400.0,S1,Midterm 1,135.98,22.77
410.0,S1,Midterm 1,138.4,22.77
420.0,S1,Midterm 1,138.85,22.81
430.0,S1,Midterm 1,141.12,22.81
440.0,S1,Midterm 1,145.32,22.83
450.0,S1,Midterm 1,147.57,22.83
460.0,S1,Midterm 1,148.72,22.83
470.0,S1,Midterm 1,149.03,22.83
480.0,S1,Midterm 1,148.07,22.83
490.0,S1,Midterm 1,146.3,22.85
500.0,S1,Midterm 1,141.62,22.87
510.0,S1,Midterm 1,138.68,22.87
520.0,S1,Midterm 1,138.73,22.85
530.0,S1,Midterm 1,142.0,22.89
540.0,S1,Midterm 1,145.45,22.89
550.0,S1,Midterm 1,148.23,22.89
560.0,S1,Midterm 1,153.18,22.89
570.0,S1,Midterm 1,156.62,22.89
580.0,S1,Midterm 1,156.38,22.87
590.0,S1,Midterm 1,152.78,22.91
600.0,S1,Midterm 1,151.67,22.91
610.0,S1,Midterm 1,150.88,22.91
620.0,S1,Midterm 1,147.07,22.91
630.0,S1,Midterm 1,143.28,22.93
640.0,S1,Midterm 1,137.8,22.93
650.0,S1,Midterm 1,132.92,22.93
660.0,S1,Midterm 1,125.48,22.95
670.0,S1,Midterm 1,118.48,22.91
680.0,S1,Midterm 1,112.95,22.95
690.0,S1,Midterm 1,107.8,22.95
700.0,S1,Midterm 1,105.45,22.95
710.0,S1,Midterm 1,104.58,22.95
720.0,S1,Midterm 1,105.58,22.95
730.0,S1,Midterm 1,105.27,22.97
740.0,S1,Midterm 1,106.12,22.95
750.0,S1,Midterm 1,105.43,22.97
760.0,S1,Midterm 1,106.07,22.99
770.0,S1,Midterm 1,106.07,22.97
780.0,S1,Midterm 1,105.2,22.97
790.0,S1,Midterm 1,105.62,22.97
800.0,S1,Midterm 1,105.0,23.01
810.0,S1,Midterm 1,106.02,23.01
820.0,S1,Midterm 1,107.92,23.01
830.0,S1,Midterm 1,108.4,22.97
840.0,S1,Midterm 1,109.85,23.01
850.0,S1,Midterm 1,110.03,23.01
860.0,S1,Midterm 1,111.92,22.99
870.0,S1,Midterm 1,115.85,23.01
880.0,S1,Midterm 1,117.85,23.01
890.0,S1,Midterm 1,120.18,23.01
900.0,S1,Midterm 1,123.65,23.01
910.0,S1,Midterm 1,128.28,23.01
920.0,S1,Midterm 1,132.1,23.01
930.0,S1,Midterm 1,132.53,23.05
940.0,S1,Midterm 1,132.0,23.03
950.0,S1,Midterm 1,131.8,23.07
960.0,S1,Midterm 1,127.98,23.05
970.0,S1,Midterm 1,121.47,23.03
980.0,S1,Midterm 1,113.03,23.05
990.0,S1,Midterm 1,107.25,23.05
1000.0,S1,Midterm 1,102.38,23.05
1010.0,S1,Midterm 1,99.65,23.05
1020.0,S1,Midterm 1,98.75,23.05
1030.0,S1,Midterm 1,98.13,23.07
1040.0,S1,Midterm 1,99.53,23.07
1050.0,S1,Midterm 1,100.83,23.05
1060.0,S1,Midterm 1,102.02,23.07
1070.0,S1,Midterm 1,104.35,23.07
1080.0,S1,Midterm 1,103.75,23.09
1090.0,S1,Midterm 1,107.75,23.07
